"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"25/09/2008","5.197,00","5.095,60","5.211,60","5.060,70","","1,99%"
"24/09/2008","5.095,60","5.136,10","5.167,40","5.087,30","","-0,79%"
"23/09/2008","5.136,10","5.236,30","5.236,30","5.076,30","","-1,91%"
"22/09/2008","5.236,30","5.311,30","5.339,30","5.236,30","","-1,41%"
"19/09/2008","5.311,30","4.880,00","5.351,20","4.857,10","","8,84%"
"18/09/2008","4.880,00","4.912,40","5.015,90","4.860,70","","-0,66%"
"17/09/2008","4.912,40","5.025,60","5.124,40","4.903,30","","-2,25%"
"16/09/2008","5.025,60","5.204,20","5.204,20","4.961,20","","-3,43%"
"15/09/2008","5.204,20","5.416,70","5.416,70","5.124,90","","-3,92%"
"12/09/2008","5.416,70","5.318,40","5.416,70","5.318,40","","1,85%"
"11/09/2008","5.318,40","5.366,20","5.377,90","5.258,10","","-0,89%"
"10/09/2008","5.366,20","5.415,60","5.419,50","5.327,80","","-0,91%"
"09/09/2008","5.415,60","5.446,30","5.524,80","5.386,90","","-0,56%"
"08/09/2008","5.446,30","5.240,70","5.447,60","5.240,70","","3,92%"
"05/09/2008","5.240,70","5.362,10","5.362,10","5.227,60","","-2,26%"
"04/09/2008","5.362,10","5.499,70","5.541,70","5.362,10","","-2,50%"
"03/09/2008","5.499,70","5.620,70","5.620,70","5.492,10","","-2,15%"
"02/09/2008","5.620,70","5.602,80","5.646,50","5.574,90","","0,32%"
"01/09/2008","5.602,80","5.636,60","5.636,60","5.573,80","","-0,60%"
"29/08/2008","5.636,60","5.601,20","5.649,10","5.587,40","","0,63%"
"28/08/2008","5.601,20","5.528,10","5.634,00","5.496,90","","1,32%"
"27/08/2008","5.528,10","5.470,70","5.540,80","5.434,70","","1,05%"
"26/08/2008","5.470,70","5.505,60","5.505,60","5.369,30","","-0,63%"
"22/08/2008","5.505,60","5.370,20","5.505,60","5.368,00","","2,52%"
"21/08/2008","5.370,20","5.371,80","5.408,00","5.311,40","","-0,03%"
"20/08/2008","5.371,80","5.320,40","5.384,20","5.320,40","","0,97%"
"19/08/2008","5.320,40","5.450,20","5.450,20","5.317,10","","-2,38%"
"18/08/2008","5.450,20","5.454,80","5.498,70","5.425,30","","-0,08%"
